School,YrLevel,Domain,EDID,First Name,Last Name,Date of Birth,Year Level,Sex,Indigenous Status,LBOTE Status,Parent 1 School Education,Parent 1 Non-School Education,Parent 1 Occupation,Parent 2 School Education,Parent 2 Non-School Education,Parent 2 Occupation,Student LOTE,Parent 1 LOTE,Parent 2 LOTE,Country of Birth,Local School Student ID,Diocesan Student ID,TAA Student ID,Platform Student ID,Previous Local School Student ID,Previous Diocesan Student ID,Previous TAA Student ID,Previous Platform Student ID,ClassGroup,Education Support,Full Fee Paying Student,Visa Code,Home Schooled Student,Sensitive,Address Line 1,Address Line 2,Locality,Postcode,State,School Code,School Name,R_Score,W_Score,S_Score,G_Score,N_Score,R_Comment,W_Comment,S_Comment,G_Comment,N_Comment,R_Mean,W_Mean,S_Mean,G_Mean,N_Mean,R_Participation,W_Participation,S_Participation,G_Participation,N_Participation,R_Pathway,W_Pathway,S_Pathway,G_Pathway,N_Pathway,R_Stddev,W_Stddev,S_Stddev,G_Stddev,N_Stddev,R_DomainBand,W_DomainBand,S_DomainBand,G_DomainBand,N_DomainBand
21214,3,AllDomains,766731912,Kellie,Sherman,2009-07-22,3,2,2,1201,2,5,1,4,7,2,1201,2201,1201,1101,766731912,,766731912,R100000071M,,,,,3D,N,2,,N,N,,,,,,21214,Iliac Primary College,441.92,,429.00,405.00,411.15,,,,,,517,,551,433,559,P,,P,P,P,A:D:C,,SA:SB:PB,GC,A:B:F,23.00,,22.85,18.74,19.62,6,,6,5,5
21216,7,AllDomains,192409105,Lucas,Huggins,2009-10-27,7,1,4,1201,1,5,4,3,6,1,1201,1201,2201,1101,192409105,,192409105,R100000114G,,,,,7A,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,559.38,625.00,565.00,571.00,568.75,,,,,,654,746,726,644,663,P,P,P,P,P,A:B:F,,SA:SD:PD,GF,CA:D:C:E,21.36,22.94,21.61,22.57,21.52,7,9,7,7,7
21216,9,AllDomains,491481562,Everett,Miguel,2009-06-14,9,1,3,1201,2,5,1,1,6,4,1201,1201,1201,4111,491481562,,491481562,R100000107A,,,,,9A,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,620.62,,595.00,601.00,608.12,,,,,,762,687,706,764,752,P,W,P,P,P,A:B:C,,SA:SD:PD,GC,NC:B:E:F,18.97,,22.65,22.34,21.46,9,,8,8,8
21214,5,AllDomains,478468366,Pierre,Brawley,2009-02-28,5,1,2,1201,4,8,2,4,5,2,1201,1201,1201,1101,478468366,,478468366,R100000057K,,,,,5A,N,1,,N,N,,,,,,21214,Iliac Primary College,531.67,,527.00,527.00,,,,,,,557,535,531,533,572,P,A,P,P,S,A:B:E,,SA:SD:PB,GE,A:B:C,20.63,,20.71,20.84,,6,,6,6,
21213,3,AllDomains,996421153,Mattie,Taylor,2009-02-25,3,2,3,1201,2,7,4,1,5,1,1201,1201,1201,1101,996421153,,996421153,R100000034G,,,,,3B,N,2,,N,N,,,,,,21213,Hippocentaur Primary College,,,447.00,0.00,411.15,,,,,,578,,546,505,535,E,,P,P,P,,,SA:SD:PD,G,A:B:E,,,22.94,22.23,19.23,,,6,0,5
21216,9,AllDomains,749836672,Antone,Hall,2009-01-27,9,1,1,1201,3,5,4,1,6,1,1201,1201,1201,1101,749836672,,749836672,R100000108M,,,,,9E,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,,655.00,625.00,,608.12,,,,,,762,744,706,764,752,X,P,P,E,P,,,SA:SB:PB,,A:B:C:F,,19.18,21.46,,18.75,,10,9,,8
21219,9,AllDomains,756107976,Mack,Huggins,2009-07-23,9,1,1,9601,2,6,2,1,8,3,9601,1201,1201,1101,756107976,,756107976,R100000179R,,,,,9F,N,1,,N,N,,,,,,21219,Trotcozy Secondary College,0.0,655.00,631.00,607.00,589.38,,,,,,767,727,748,774,608,R,P,P,P,P,A:D:F,,SA:SB:PB,GF,NC:D:C:F,0.0,20.40,19.19,20.22,18.43,0,10,9,8,8
21220,7,AllDomains,891208554,Darren,Brown,2009-01-11,7,1,4,1201,1,8,1,4,6,3,1201,5203,5203,1101,891208554,,891208554,R100000218E,,,,,7D,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,571.88,475.00,,583.00,580.47,,,,,,620,722,638,695,713,P,P,C,P,P,A:B:F,,,GF,CA:B:C:F,22.89,22.75,,19.36,22.26,7,5,,7,7
21213,3,AllDomains,772546884,Sara,Gist,2009-09-22,3,2,1,1201,2,8,2,1,8,2,1201,1201,1201,1101,772546884,,772546884,R100000047M,,,,,3B,N,2,,N,N,,,,,,21213,Hippocentaur Primary College,434.23,,423.00,405.00,,,,,,,578,,546,505,535,P,,P,P,W,A:D:F,,SA:SD:PB,GF,,19.32,,18.33,20.54,,6,,5,5,
21216,5,AllDomains,198273077,Kristin,Baker,2009-03-05,5,2,3,9601,1,5,2,1,5,3,9601,1201,1201,1101,198273077,,198273077,R100000113M,,,,,5D,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,515.00,575.00,509.00,527.00,515.00,,,,,,698,570,696,515,604,P,P,P,P,P,A:B:E,,SA:SD:PB,GE,CA:B:C,18.90,19.77,18.96,20.86,22.10,6,8,6,6,6
21218,7,AllDomains,213211247,Jared,Varela,2009-05-20,7,1,2,1201,1,5,3,1,6,1,1201,1201,9601,1101,213211247,,213211247,R100000163D,,,,,7A,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,590.62,475.00,571.00,589.00,0.0,,,,,,745,706,717,699,550,P,P,P,P,R,A:D:E,,SA:SB:PB,GE,CA:B:C:E,20.01,18.31,21.22,18.70,0.0,8,5,7,8,0
21219,9,AllDomains,465705203,Marc,Foster,2009-04-02,9,1,3,1201,1,7,1,4,7,1,1201,1201,1201,1101,465705203,,465705203,R100000197S,,,,,9A,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,605.00,0.0,613.00,613.00,,,,,,,767,727,748,774,608,P,R,P,P,C,A:B:C,,SA:SB:PD,GC,,20.93,0.0,18.58,20.74,,8,0,8,8,
21214,3,AllDomains,540268370,Salvador,Romano,2009-03-17,3,1,4,1201,2,6,3,1,6,3,1201,1201,9601,1101,540268370,,540268370,R100000072G,,,,,3A,N,2,,N,N,,,,,,21214,Iliac Primary College,399.62,,429.00,417.00,,,,,,,517,,551,433,559,P,,P,P,A,A:B:F,,SA:SD:PD,GF,,20.57,,18.77,20.42,,5,,6,5,
21217,3,AllDomains,969220439,Brock,Smith,2009-04-13,3,1,4,1201,2,7,2,3,6,3,1201,9601,9601,1101,969220439,,969220439,R100000132M,,,,,3B,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,418.85,,423.00,429.00,430.38,,,,,,431,,425,418,484,P,,P,P,P,A:D:C,,SA:SD:PD,GC,CA:B:C,21.41,,20.65,21.56,21.17,5,,5,6,6
21214,3,AllDomains,222625718,Miranda,Bradley,2009-01-16,3,2,1,9601,4,6,3,1,7,1,9601,7100,1201,2100,222625718,,222625718,R100000052M,,,,,3B,N,1,,N,N,,,,,,21214,Iliac Primary College,422.69,,435.00,423.00,430.38,,,,,,517,,551,433,559,P,,P,P,P,A:B:F,,SA:SB:PD,GF,CA:D:C,20.87,,20.12,18.54,20.22,5,,6,5,6
21221,7,AllDomains,933260619,Adan,Raap,2009-08-16,7,1,2,5203,4,8,1,3,8,2,5203,2201,1201,1101,933260619,,933260619,R100000236K,,,,,7B,N,1,,N,N,,,,,,21221,Wishram Combined College,575.00,,577.00,559.00,573.44,,,,,,620,728,626,569,679,P,X,P,P,P,A:B:E,,SA:SD:PB,GE,CA:B:C:E,20.29,,18.40,22.53,19.69,7,,7,7,7
21212,3,AllDomains,402023619,Pattie,Davis,2009-06-22,3,2,2,1201,2,6,3,4,7,4,1201,1201,1201,1101,402023619,,402023619,R100000008A,,,,,3F,N,1,,N,N,,,,,,21212,Anticapital Primary College,430.38,,429.00,441.00,,,,,,,582,,416,587,509,P,,P,P,S,A:D:C,,SA:SB:PB,GC,A:D:E,21.79,,20.28,20.63,,6,,6,6,
21215,5,AllDomains,188250194,Carlos,Mcdaniel,2009-01-28,5,1,1,5203,4,8,3,2,7,2,5203,1201,1201,1101,188250194,,188250194,R100000094A,,,,,5C,N,2,,N,N,,,,,,21215,Isovalerate Combined College,525.00,575.00,515.00,527.00,535.00,,,,,,574,539,586,650,682,P,P,P,P,P,A:B:C,,SA:SB:PD,GC,A:B:F,22.07,21.64,22.91,21.54,19.00,6,8,6,6,6
21214,5,AllDomains,774111723,Kevin,Lachance,2009-12-22,5,1,4,1201,1,8,1,4,8,1,1201,1201,5203,1101,774111723,,774111723,R100000059D,,,,,5B,N,2,,N,N,,,,,,21214,Iliac Primary College,528.33,575.00,533.00,539.00,525.00,,,,,,557,682,531,533,572,P,P,P,P,P,A:D:C,,SA:SD:PB,GC,A:D:C,22.56,22.40,21.29,19.87,22.76,6,8,6,7,6
21221,7,AllDomains,951895034,Kelsey,Rudder,2009-10-19,7,2,4,1201,3,5,4,4,6,2,1201,1201,1201,1101,951895034,,951895034,R100000249A,,,,,7C,N,1,,N,N,,,,,,21221,Wishram Combined College,587.50,475.00,583.00,577.00,582.81,,,,,,620,728,626,569,679,P,P,P,P,P,A:B:F,,SA:SD:PD,GF,CA:D:C:E,20.89,18.19,18.72,20.79,20.40,8,5,7,7,7
21220,7,AllDomains,520369196,Angel,Tillman,2009-10-23,7,2,3,1201,3,6,4,3,5,3,1201,1201,1201,1101,520369196,,520369196,R100000201S,,,,,7C,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,568.75,625.00,559.00,571.00,587.50,,,,,,620,722,638,695,713,P,P,P,P,P,A:B:E,,SA:SB:PB,GE,NC:D:E:F,22.85,21.55,18.29,20.53,21.23,7,9,7,7,8
21217,3,AllDomains,937352317,Wayne,Holmes,2009-01-02,3,1,3,1201,3,5,1,2,6,3,1201,1201,1201,1101,937352317,,937352317,R100000126A,,,,,3F,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,426.54,,,429.00,422.69,,,,,,431,,425,418,484,P,,A,P,P,A:D:F,,,GF,A:B:F,18.30,,,21.10,22.60,5,,,6,5
21217,5,AllDomains,954748572,Annabelle,Smith,2009-07-13,5,2,2,2201,3,6,2,4,5,3,2201,7100,2201,1101,954748572,,954748572,R100000144D,,,,,5B,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,0.0,575.00,557.00,533.00,541.67,,,,,,528,519,518,519,606,R,P,P,P,P,A:D:C,,SA:SB:PB,GC,CA:B:C,0.0,19.52,20.47,21.13,19.01,0,8,7,6,7
21217,7,AllDomains,419563912,Susana,Hatchett,2009-07-02,7,2,2,1201,2,7,3,4,8,3,1201,1201,1201,1101,419563912,,419563912,R100000134H,,,,,7E,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,575.00,475.00,,583.00,,,,,,,711,652,568,574,653,P,P,E,P,A,A:D:F,,,GF,,19.35,18.13,,22.68,,7,5,,7,
21217,5,AllDomains,910440016,Gay,Park,2009-02-28,5,2,1,1201,3,8,2,1,6,4,1201,1201,1201,1101,910440016,,910440016,R100000133G,,,,,5A,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,541.67,575.00,539.00,503.00,535.00,,,,,,528,519,518,519,606,P,P,P,P,P,A:B:F,,SA:SB:PD,GF,A:D:C,21.03,20.94,20.31,19.58,21.36,7,8,7,6,6
21214,5,AllDomains,384397284,Belinda,Mitten,2009-09-25,5,2,4,7100,2,7,2,1,8,4,7100,1201,2201,1101,384397284,,384397284,R100000064D,,,,,5B,N,1,,N,N,,,,,,21214,Iliac Primary College,515.00,,503.00,527.00,541.67,,,,,,557,682,531,533,572,P,E,P,P,P,A:B:F,,SA:SB:PD,GF,CA:B:C,21.43,,20.14,19.05,20.23,6,,6,6,7
21216,7,AllDomains,73385408,Eduardo,Thompson,2009-09-23,7,1,1,1201,2,6,4,2,8,2,1201,1201,1201,1101,73385408,,73385408,R100000117R,,,,,7C,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,575.00,475.00,589.00,,573.44,,,,,,654,746,726,644,663,P,P,P,E,P,A:D:F,,SA:SB:PD,,CA:D:C:F,21.82,21.19,18.03,,21.67,7,5,8,,7
21213,3,AllDomains,855487884,Briana,Scott,2009-04-04,3,2,3,1201,4,5,2,2,5,2,1201,1201,1201,1101,855487884,,855487884,R100000041S,,,,,3E,N,2,,N,N,,,,,,21213,Hippocentaur Primary College,391.92,,429.00,423.00,422.69,,,,,,578,,546,505,535,P,,P,P,P,A:B:C,,SA:SD:PD,GC,CA:D:E,22.90,,22.65,20.16,18.02,5,,6,5,5
21214,5,AllDomains,828739037,Terrance,Smith,2009-07-06,5,1,1,1201,2,8,1,4,5,4,1201,5203,1201,6101,828739037,,828739037,R100000070A,,,,,5C,N,1,,N,N,,,,,,21214,Iliac Primary College,528.33,,533.00,,528.33,,,,,,557,682,531,533,572,P,A,P,X,P,A:D:C,,SA:SD:PD,,NC:B:F,20.64,,19.04,,21.49,6,,6,,6
21220,7,AllDomains,554661825,Jody,Mccaffrey,2009-09-05,7,2,3,1201,3,6,1,1,6,2,1201,1201,1201,1101,554661825,,554661825,R100000208G,,,,,7F,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,600.00,625.00,577.00,541.00,,,,,,,620,722,638,695,713,P,P,P,P,S,A:B:F,,SA:SB:PB,GF,A:B:C:F,22.30,18.94,21.08,18.08,,8,9,7,6,
21216,7,AllDomains,557824343,Pearl,Pulliam,2009-01-07,7,2,3,1201,1,8,3,1,7,2,1201,2201,1201,6101,557824343,,557824343,R100000110H,,,,,7B,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,578.12,625.00,607.00,0.00,565.62,,,,,,654,746,726,644,663,P,P,P,P,P,A:C:B,,SA:SD:PB,GB,A:D:E:F,19.30,19.01,18.35,20.40,20.23,7,9,8,0,7
21212,5,AllDomains,812451070,Susana,Hill,2009-10-18,5,2,1,1201,3,8,1,3,6,1,1201,9601,1201,1101,812451070,,812451070,R100000000K,,,,,5E,N,2,,N,N,,,,,,21212,Anticapital Primary College,538.33,575.00,,515.00,531.67,,,,,,656,637,528,584,567,P,P,X,P,P,A:B:E,,,GE,CA:D:C,20.58,21.44,,21.71,20.71,7,8,,6,6
21212,5,AllDomains,624650841,Jimmie,Williams,2009-09-05,5,1,2,1201,4,6,4,4,5,4,1201,1201,1201,1101,624650841,,624650841,R100000012P,,,,,5B,N,2,,N,N,,,,,,21212,Anticapital Primary College,525.00,575.00,539.00,0.0,518.33,,,,,,656,643,528,584,567,P,P,P,R,P,A:C:B,,SA:SB:PB,GB,CA:B:E,21.92,18.65,18.83,0.0,20.62,6,8,7,0,6
21212,3,AllDomains,925430999,Leonor,Trevino,2009-08-17,3,2,1,1201,1,5,2,1,5,2,1201,1201,1201,1101,925430999,,925430999,R100000020E,,,,,3A,N,2,,N,N,,,,,,21212,Anticapital Primary College,434.23,,411.00,0.00,403.46,,,,,,582,,416,587,509,P,,P,P,P,A:C:B,,SA:SD:PB,GB,A:D:C,21.22,,21.64,19.25,20.10,6,,5,0,5
21219,9,AllDomains,14040244,Mathew,Jennings,2009-03-20,9,1,4,1201,3,6,1,3,8,1,1201,5203,1201,1101,14040244,,14040244,R100000176E,,,,,9D,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,592.50,655.00,607.00,0.00,,,,,,,767,727,748,774,608,P,P,P,P,X,A:C:B,,SA:SB:PD,GB,,22.00,22.80,19.38,20.98,,8,10,8,0,
21214,5,AllDomains,455745192,Latasha,Stewart,2009-02-01,5,2,1,9601,4,7,2,2,8,2,9601,1201,7100,1101,455745192,,455745192,R100000061R,,,,,5F,N,2,,N,N,,,,,,21214,Iliac Primary College,535.00,575.00,533.00,527.00,541.67,,,,,,557,682,531,533,572,P,P,P,P,P,A:B:E,,SA:SB:PB,GE,CA:D:E,18.78,22.31,22.46,21.51,22.07,6,8,6,6,7
21220,7,AllDomains,820681232,Willian,Phillips,2009-09-12,7,1,3,1201,2,6,4,1,6,3,1201,1201,9601,1101,820681232,,820681232,R100000219D,,,,,7A,N,2,,N,N,,,,,,21220,Unturpentined Secondary College,578.12,625.00,571.00,571.00,575.78,,,,,,620,722,638,695,713,P,P,P,P,P,A:B:E,,SA:SB:PD,GE,CA:B:C:E,22.65,20.72,19.61,18.54,20.82,7,9,7,7,7
21212,3,AllDomains,684855136,Sally,Carr,2009-08-02,3,2,1,1201,1,5,4,2,8,1,1201,1201,2201,1101,684855136,,684855136,R100000017S,,,,,3E,N,2,,N,N,,,,,,21212,Anticapital Primary College,441.92,,417.00,,418.85,,,,,,582,,416,587,509,P,,P,E,P,A:B:E,,SA:SD:PD,,CA:B:C,22.63,,21.63,,18.86,6,,5,,5
21221,7,AllDomains,360685193,Mickie,Smith,2009-10-26,7,2,1,1201,4,7,4,4,8,2,1201,1201,1201,6101,360685193,,360685193,R100000247H,,,,,7A,N,1,,N,N,,,,,,21221,Wishram Combined College,584.38,,,589.00,585.16,,,,,,620,607,626,569,679,P,E,A,P,P,A:D:C,,,GC,CA:B:C:E,21.14,,,18.15,19.06,7,,,8,7
21221,5,AllDomains,963412185,Mark,Fuquay,2009-07-11,5,1,4,1201,4,7,1,1,7,3,1201,1201,1201,1101,963412185,,963412185,R100000248P,,,,,5A,N,2,,N,N,,,,,,21221,Wishram Combined College,535.00,575.00,,503.00,,,,,,,543,500,548,579,524,P,P,X,P,E,A:D:C,,,GC,,19.35,18.82,,21.26,,6,8,,6,
21220,7,AllDomains,385371423,Anibal,Gratton,2009-12-08,7,1,1,1201,4,6,2,3,7,1,1201,1201,1201,1101,385371423,,385371423,R100000200D,,,,,7F,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,571.88,,595.00,583.00,600.00,,,,,,620,660,638,695,713,P,X,P,P,P,A:B:C,,SA:SD:PB,GC,A:D:E:F,22.22,,22.89,21.37,22.29,7,,8,7,8
21217,3,AllDomains,723237700,Tracy,Pritchett,2009-09-05,3,1,4,1201,2,6,3,2,8,2,1201,1201,1201,1101,723237700,,723237700,R100000145A,,,,,3A,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,426.54,,,411.00,403.46,,,,,,431,,425,418,484,P,,C,P,P,A:B:F,,,GF,NC:B:F,20.35,,,18.97,21.93,5,,,5,5
21214,5,AllDomains,72785717,Bobby,Davis,2009-01-04,5,2,2,1201,4,5,4,3,6,4,1201,1201,1201,4111,72785717,,72785717,R100000050P,,,,,5B,N,2,,N,N,,,,,,21214,Iliac Primary College,545.00,425.00,539.00,515.00,531.67,,,,,,557,535,531,533,572,P,P,P,P,P,A:D:C,,SA:SB:PB,GC,CA:B:F,21.19,21.22,21.08,19.47,18.11,7,4,7,6,6
21215,7,AllDomains,140397837,Bobbie,Welch,2009-03-06,7,2,3,1201,1,5,4,4,5,2,1201,1201,5203,1101,140397837,,140397837,R100000084S,,,,,7B,N,2,,N,N,,,,,,21215,Isovalerate Combined College,575.00,625.00,589.00,589.00,592.19,,,,,,748,611,644,694,676,P,P,P,P,P,A:D:E,,SA:SD:PB,GE,CA:D:E:F,21.32,19.92,21.14,22.65,18.72,7,9,8,8,8
21219,7,AllDomains,42576899,Vance,Burger,2009-03-21,7,1,1,1201,4,6,4,3,7,1,1201,1201,9601,1101,42576899,,42576899,R100000180K,,,,,7B,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,562.50,625.00,595.00,0.00,571.09,,,,,,567,665,671,664,595,P,P,P,P,P,A:C:B,,SA:SD:PD,GB,CA:B:C:F,22.65,22.18,19.92,21.58,19.24,7,9,8,0,7
21219,7,AllDomains,730559528,Tina,Silva,2009-07-10,7,2,3,1201,2,8,1,1,8,1,1201,1201,1201,2100,730559528,,730559528,R100000186H,,,,,7A,N,1,,N,N,,,,,,21219,Trotcozy Secondary College,590.62,625.00,0.0,,571.88,,,,,,567,665,671,664,595,P,P,R,S,P,A:D:C,,SA:SB:PB,GC,A:D:E:F,19.85,20.71,0.0,,20.66,8,9,0,,7
21218,9,AllDomains,213949532,Melonie,Greenbaum,2009-06-13,9,2,2,1201,2,8,1,3,5,3,1201,5203,7100,1101,213949532,,213949532,R100000155R,,,,,9E,N,2,,N,N,,,,,,21218,Redistrainer Secondary College,,655.00,613.00,613.00,617.50,,,,,,644,671,612,651,724,S,P,P,P,P,A:B:F,,SA:SD:PD,GF,CA:B:C:F,,18.03,19.34,22.52,22.09,,10,8,8,9
21212,5,AllDomains,624504082,Nona,Martin,2009-06-09,5,2,3,1201,4,8,1,1,7,3,1201,1201,7100,1101,624504082,,624504082,R100000023R,,,,,5E,N,2,,N,N,,,,,,21212,Anticapital Primary College,518.33,575.00,533.00,527.00,525.00,,,,,,656,637,528,584,567,P,P,P,P,P,A:B:C,,SA:SB:PD,GC,A:D:E,19.13,20.15,21.46,19.72,21.36,6,8,6,6,6
21220,7,AllDomains,422061162,Melonie,Harris,2009-12-05,7,2,3,1201,2,8,1,3,5,3,1201,1201,5203,1101,422061162,,422061162,R100000221R,,,,,7E,N,2,,N,N,,,,,,21220,Unturpentined Secondary College,600.00,625.00,595.00,,575.00,,,,,,620,722,638,695,713,P,P,P,C,P,A:D:E,,SA:SD:PB,,A:D:E:F,18.87,20.92,18.98,,18.44,8,9,8,,7
21213,3,AllDomains,897587571,Brigitte,Casey,2009-12-20,3,2,4,1201,1,5,3,4,7,1,1201,1201,1201,1101,897587571,,897587571,R100000025H,,,,,3C,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,434.23,,429.00,399.00,418.85,,,,,,578,,546,505,535,P,,P,P,P,A:D:F,,SA:SD:PB,GF,A:B:E,21.01,,21.44,19.62,20.36,6,,6,5,5
21220,7,AllDomains,153282012,Cora,Cooley,2009-05-08,7,2,4,1201,2,7,1,3,6,1,1201,9601,1201,1101,153282012,,153282012,R100000214H,,,,,7E,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,584.38,625.00,565.00,0.00,578.12,,,,,,620,722,638,695,713,P,P,P,P,P,A:C:B,,SA:SB:PD,GB,CA:D:C:E,22.85,20.63,21.76,18.17,18.86,7,9,7,0,7
21213,5,AllDomains,664875159,Laura,Million,2009-04-21,5,2,3,1201,2,5,2,1,6,3,1201,1201,1201,1101,664875159,,664875159,R100000029G,,,,,5F,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,538.33,575.00,533.00,539.00,528.33,,,,,,645,646,695,586,547,P,P,P,P,P,A:D:F,,SA:SD:PB,GF,CA:D:E,22.73,18.47,18.69,20.01,18.02,7,8,6,7,6
21221,7,AllDomains,824066061,Danna,Brandl,2009-08-19,7,2,2,1201,3,5,3,2,5,4,1201,1201,1201,1101,824066061,,824066061,R100000237E,,,,,7C,N,2,,N,N,,,,,,21221,Wishram Combined College,,475.00,583.00,0.00,573.44,,,,,,620,607,626,569,679,A,P,P,P,P,,,SA:SD:PB,G,NC:D:E:F,,22.77,18.21,21.03,19.76,,5,7,0,7
21213,3,AllDomains,368200198,Amelia,Arroyo,2009-02-14,3,2,4,1201,1,6,1,3,7,1,1201,1201,1201,1101,368200198,,368200198,R100000032A,,,,,3E,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,,,435.00,,434.23,,,,,,578,,546,505,535,S,,P,S,P,A:B:F,,SA:SD:PB,GF,A:B:F,,,18.44,,18.59,,,6,,6
21213,3,AllDomains,118803037,Bryan,Browder,2009-09-05,3,1,4,1201,4,5,2,1,8,3,1201,1201,1201,1101,118803037,,118803037,R100000033M,,,,,3F,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,415.00,,429.00,411.00,422.69,,,,,,578,,546,505,535,P,,P,P,P,A:B:C,,SA:SD:PB,GC,CA:D:E,22.71,,19.25,18.18,20.36,5,,6,5,5
21215,5,AllDomains,117672957,Glenn,Spangler,2009-06-05,5,1,3,1201,2,8,4,2,5,1,1201,1201,1201,1101,117672957,,117672957,R100000079S,,,,,5C,N,1,,N,N,,,,,,21215,Isovalerate Combined College,535.00,575.00,515.00,533.00,518.33,,,,,,574,539,586,650,682,P,P,P,P,P,A:B:F,,SA:SD:PD,GF,CA:D:C,19.85,20.85,20.06,22.53,21.84,6,8,6,6,6
21217,7,AllDomains,443441432,Adrian,Hatchett,2009-11-20,7,1,3,1201,4,5,3,2,7,2,1201,1201,1201,1101,443441432,,443441432,R100000141R,,,,,7B,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,584.38,625.00,583.00,571.00,578.12,,,,,,711,618,568,574,653,P,P,P,P,P,A:D:C,,SA:SD:PB,GC,CA:B:C:E,20.14,18.96,22.08,20.40,18.14,7,9,7,7,7
21217,7,AllDomains,750413097,Tisha,Lloyd,2009-10-15,7,2,1,2201,3,7,3,2,6,1,2201,1201,1201,4111,750413097,,750413097,R100000130P,,,,,7A,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,593.75,625.00,589.00,0.0,571.88,,,,,,711,652,568,574,653,P,P,P,R,P,A:B:E,,SA:SB:PD,GE,A:D:C:F,18.86,22.68,21.71,0.0,19.08,8,9,8,0,7
21221,5,AllDomains,847017452,Johnathan,Dallas,2009-02-03,5,1,2,1201,3,5,2,3,6,3,1201,7100,1201,1101,847017452,,847017452,R100000244S,,,,,5F,N,1,,N,N,,,,,,21221,Wishram Combined College,538.33,425.00,,0.00,531.67,,,,,,543,500,548,579,524,P,P,E,P,P,A:C:B,,,GB,CA:D:C,19.38,22.54,,22.98,21.05,7,4,,0,6
21218,9,AllDomains,3596939,Audry,Kummer,2009-12-18,9,2,2,7100,4,5,2,4,8,3,7100,5203,1201,1101,3596939,,3596939,R100000152G,,,,,9A,N,2,,N,N,,,,,,21218,Redistrainer Secondary College,614.38,505.00,601.00,601.00,608.12,,,,,,644,745,612,651,724,P,P,P,P,P,A:B:C,,SA:SD:PD,GC,A:B:E:F,19.55,18.42,20.59,22.16,21.96,8,6,8,8,8
21218,7,AllDomains,838740156,Nathan,Countess,2009-09-12,7,1,1,1201,2,6,1,2,5,1,1201,2201,1201,1101,838740156,,838740156,R100000154P,,,,,7B,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,562.50,625.00,583.00,583.00,578.12,,,,,,745,730,717,699,550,P,P,P,P,P,A:B:C,,SA:SB:PD,GC,A:B:E:F,19.56,22.62,18.17,18.01,20.40,7,9,7,7,7
21214,3,AllDomains,502150920,Adam,Fitts,2009-12-20,3,1,4,1201,2,7,2,3,5,4,1201,5203,1201,1101,502150920,,502150920,R100000055S,,,,,3A,N,1,,N,N,,,,,,21214,Iliac Primary College,407.31,,,411.00,426.54,,,,,,517,,551,433,559,P,,A,P,P,A:B:F,,,GF,A:B:F,20.56,,,22.62,19.65,5,,,5,5
21218,9,AllDomains,790764867,Annabelle,Howard,2009-05-10,9,2,3,1201,2,5,2,2,6,1,1201,1201,1201,2100,790764867,,790764867,R100000165M,,,,,9E,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,620.62,,619.00,0.00,608.12,,,,,,644,671,612,651,724,P,S,P,P,P,A:C:B,,SA:SB:PB,GB,CA:B:C:E,21.42,,21.12,20.96,20.20,9,,9,0,8
21216,5,AllDomains,405246056,Luetta,Harrison,2009-12-03,5,2,3,1201,4,6,4,2,8,1,1201,1201,1201,6101,405246056,,405246056,R100000120D,,,,,5D,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,,,,521.00,525.00,,,,,,698,622,696,515,604,S,X,W,P,P,A:B:F,,,GF,A:B:E,,,,21.19,22.21,,,,6,6
